user_id,timestamp,activity_type,resource_accessed,location,device_info,risk_score,login_time,logout_time,session_duration,file_size,data_type,application_used,ip_address,user_agent,success_status
U004,2024-01-15 13:20:10,database_export,customer_export.csv,office_building_a,Windows_11_Pro,0.8,2024-01-15 08:20:00,2024-01-15 17:30:00,33000,5120000,customer_data,Database_Client,192.168.1.104,Edge/96.0,success
U004,2024-01-15 15:45:30,email_attachment,customer_data_export.csv,office_building_a,Windows_11_Pro,0.9,2024-01-15 08:20:00,2024-01-15 17:30:00,33000,5120000,customer_data,Outlook,192.168.1.104,Edge/96.0,success
U005,2024-01-15 08:15:30,login,workstation_05,office_building_c,Windows_10_Pro,0.1,2024-01-15 08:15:30,2024-01-15 18:15:00,35970,0,login,Windows,192.168.1.105,Firefox/95.0,success
U005,2024-01-15 10:00:45,file_access,payroll_data.xlsx,office_building_c,Windows_10_Pro,0.6,2024-01-15 08:15:30,2024-01-15 18:15:00,35970,1536000,payroll,Excel,192.168.1.105,Firefox/95.0,success
U005,2024-01-15 11:30:20,file_access,employee_salaries.pdf,office_building_c,Windows_10_Pro,0.7,2024-01-15 08:15:30,2024-01-15 18:15:00,35970,1024000,payroll,Adobe_Reader,192.168.1.105,Firefox/95.0,success
U005,2024-01-15 16:20:15,usb_access,USB_DRIVE_002,office_building_c,Windows_10_Pro,0.8,2024-01-15 08:15:30,2024-01-15 18:15:00,35970,2048000,payroll,File_Explorer,192.168.1.105,Firefox/95.0,success
U006,2024-01-15 08:30:00,login,workstation_06,office_building_a,MacOS_11.6,0.1,2024-01-15 08:30:00,2024-01-15 17:00:00,30600,0,login,MacOS,192.168.1.106,Safari/14.1,success
U006,2024-01-15 09:15:10,file_access,marketing_strategy.pptx,office_building_a,MacOS_11.6,0.2,2024-01-15 08:30:00,2024-01-15 17:00:00,30600,3072000,marketing,PowerPoint,192.168.1.106,Safari/14.1,success
U006,2024-01-15 14:45:30,cloud_sync,onedrive_sync,office_building_a,MacOS_11.6,0.3,2024-01-15 08:30:00,2024-01-15 17:00:00,30600,4096000,marketing,OneDrive,192.168.1.106,Safari/14.1,success
U007,2024-01-15 08:45:15,login,workstation_07,office_building_b,Ubuntu_18.04,0.1,2024-01-15 08:45:15,2024-01-15 16:45:00,28785,0,login,Linux,192.168.1.107,Chrome/94.0,success
U007,2024-01-15 10:30:45,file_access,research_data.csv,office_building_b,Ubuntu_18.04,0.4,2024-01-15 08:45:15,2024-01-15 16:45:00,28785,8192000,research,Python_Script,192.168.1.107,Chrome/94.0,success
U007,2024-01-15 12:00:20,data_analysis,statistical_analysis.py,office_building_b,Ubuntu_18.04,0.3,2024-01-15 08:45:15,2024-01-15 16:45:00,28785,51200,research,Python_Script,192.168.1.107,Chrome/94.0,success
U008,2024-01-15 08:20:30,login,workstation_08,office_building_c,Windows_10_Pro,0.1,2024-01-15 08:20:30,2024-01-15 17:30:00,32970,0,login,Windows,192.168.1.108,Edge/95.0,success
U008,2024-01-15 09:00:15,file_access,network_config.xml,office_building_c,Windows_10_Pro,0.5,2024-01-15 08:20:30,2024-01-15 17:30:00,32970,256000,network_config,Text_Editor,192.168.1.108,Edge/95.0,success
U008,2024-01-15 11:15:40,admin_access,firewall_config,office_building_c,Windows_10_Pro,0.8,2024-01-15 08:20:30,2024-01-15 17:30:00,32970,102400,network_config,Admin_Tool,192.168.1.108,Edge/95.0,success
U008,2024-01-15 15:30:25,config_change,firewall_rules_modified,office_building_c,Windows_10_Pro,0.9,2024-01-15 08:20:30,2024-01-15 17:30:00,32970,51200,network_config,Admin_Tool,192.168.1.108,Edge/95.0,success
U009,2024-01-15 08:35:00,login,workstation_09,office_building_a,MacOS_12.0,0.1,2024-01-15 08:35:00,2024-01-15 17:45:00,33000,0,login,MacOS,192.168.1.109,Safari/15.0,success
U009,2024-01-15 09:30:20,file_access,legal_documents.pdf,office_building_a,MacOS_12.0,0.6,2024-01-15 08:35:00,2024-01-15 17:45:00,33000,4096000,legal,Adobe_Reader,192.168.1.109,Safari/15.0,success
U009,2024-01-15 13:45:15,email_send,legal_consultant@external.com,office_building_a,MacOS_12.0,0.7,2024-01-15 08:35:00,2024-01-15 17:45:00,33000,2048000,legal,Outlook,192.168.1.109,Safari/15.0,success
U010,2024-01-15 08:25:45,login,workstation_10,office_building_b,Windows_11_Home,0.1,2024-01-15 08:25:45,2024-01-15 16:30:00,29055,0,login,Windows,192.168.1.110,Chrome/97.0,success
U010,2024-01-15 09:45:30,file_access,product_roadmap.xlsx,office_building_b,Windows_11_Home,0.3,2024-01-15 08:25:45,2024-01-15 16:30:00,29055,1536000,product,Excel,192.168.1.110,Chrome/97.0,success
U010,2024-01-15 12:30:10,web_browsing,competitor_website.com,office_building_b,Windows_11_Home,0.4,2024-01-15 08:25:45,2024-01-15 16:30:00,29055,0,web_browsing,Chrome,192.168.1.110,Chrome/97.0,success
U010,2024-01-15 14:15:25,screenshot,product_screenshot.png,office_building_b,Windows_11_Home,0.5,2024-01-15 08:25:45,2024-01-15 16:30:00,29055,512000,product,Screenshot_Tool,192.168.1.110,Chrome/97.0,success
